key,chips,raw_first_irq,raw_top_irq,raw_top_share,raw_distinct_irqs,parser_detected_irq,raw_in_bounds,parser_in_bounds,detected_zero,parser_disagrees_with_raw,near_lower_bound,near_upper_bound
4-Mat/Old_Favourites.3.dump.parquet,1,0,10240712,0.0041,802,19656,0,1,0,1,0,0
4-Mat/Orbtro.1.dump.parquet,1,0,3243176,0.0011,1603,19656,0,1,0,1,0,0
4-Mat/Paige.1.dump.parquet,1,0,45307016,0.0021,2306,19656,0,1,0,1,0,0
4-Mat/Paranoimia.1.dump.parquet,1,0,98216,0.0011,2599,19656,0,1,0,1,0,0
4-Mat/Patchwork_Demotrack_1.1.dump.parquet,1,0,11813192,0.0009,4961,19656,0,1,0,1,0,0
4-Mat/Patchwork_Demotrack_2.1.dump.parquet,1,0,13641200,0.0028,1477,19656,0,1,0,1,0,0
4-Mat/Patchwork_Demotrack_3.1.dump.parquet,1,0,20068712,0.0026,1532,19656,0,1,0,1,0,0
4-Mat/Plasma303.1.dump.parquet,1,0,0,0.0008,5805,16422,0,1,0,1,0,0
4-Mat/Pocket_Universe.1.dump.parquet,1,0,19592,0.0007,4096,19656,1,1,0,1,0,0
4-Mat/Promises_Promises.1.dump.parquet,1,0,176840,0.0004,7448,19656,0,1,0,1,0,0
4-Mat/Psykozone-Ingame_Final.1.dump.parquet,1,0,39248,0.0003,7045,19656,0,1,0,1,0,1
4-Mat/Psykozone.1.dump.parquet,1,0,3813200,0.0007,3000,19656,0,1,0,1,0,0
4-Mat/Psykozone.2.dump.parquet,1,0,17022032,0.0009,2719,19656,0,1,0,1,0,0
4-Mat/Relief_reSID_likes_me.1.dump.parquet,1,0,39248,0.0005,3216,19656,0,1,0,1,0,1
4-Mat/Rollover_part_2.1.dump.parquet,1,0,11361104,0.0004,6104,19656,0,1,0,1,0,0
4-Mat/Saturday.1.dump.parquet,1,0,44619056,0.0003,7677,19656,0,1,0,1,0,0
4-Mat/Something.1.dump.parquet,1,0,39248,0.0008,2649,19656,0,1,0,1,0,1
4-Mat/Son_of_Flynn.1.dump.parquet,1,0,17709992,0.0005,4711,19656,0,1,0,1,0,0
4-Mat/Sounds.1.dump.parquet,1,0,39248,0.001,1967,19656,0,1,0,1,0,1
4-Mat/Spec_48k_Ping_Pong_Remix.1.dump.parquet,1,0,39248,0.0004,5015,19656,0,1,0,1,0,1
4-Mat/Spy_vs_Spy_3_Cover.1.dump.parquet,1,0,83909,0.0013,4270,0,0,0,1,0,0,0
4-Mat/Stars.1.dump.parquet,1,0,120805712,0.0005,5442,19656,0,1,0,1,0,0
4-Mat/Station_Surge.1.dump.parquet,1,0,254781008,0.0001,15015,19656,0,1,0,1,0,0
4-Mat/Street_Hawk.1.dump.parquet,1,0,39248,0.0007,2828,19656,0,1,0,1,0,1
4-Mat/Sub.1.dump.parquet,1,0,7606808,0.0005,6313,19656,0,1,0,1,0,0
4-Mat/Sub.2.dump.parquet,1,0,132225848,0.0003,8455,19656,0,1,0,1,0,0
4-Mat/Sunset_on_a_Dream.1.dump.parquet,1,0,2162096,0.0006,3981,19656,0,1,0,1,0,0
4-Mat/Super_Bass.1.dump.parquet,1,0,39248,0.0005,3637,19656,0,1,0,1,0,1
4-Mat/Tiger_Mission_Hiscore_cover.1.dump.parquet,1,0,1827944,0.0009,2154,19656,0,1,0,1,0,0
4-Mat/Titanic.1.dump.parquet,1,0,15135056,0.0037,1292,19656,0,1,0,1,0,0
4-Mat/Type_Mismatch.1.dump.parquet,1,0,25355,0.0023,8728,0,0,0,1,0,0,1
4-Mat/Type_Mismatch_Remix.1.dump.parquet,1,0,0,0.0008,4512,19656,0,1,0,1,0,0
4-Mat/Unused_Demo_2_Remix.1.dump.parquet,1,0,39248,0.0013,1975,19656,0,1,0,1,0,1
4-Mat/Very_Bland.1.dump.parquet,1,0,22682960,0.0004,4989,19656,0,1,0,1,0,0
4-Mat/Viola_Duet.1.dump.parquet,1,0,39248,0.0015,2256,19656,0,1,0,1,0,1
4-Mat/Wander.1.dump.parquet,1,0,39248,0.0007,3517,19656,0,1,0,1,0,1
4-Mat/Warpzone.1.dump.parquet,1,0,235808,0.0006,3014,19656,0,1,0,1,0,0
4-Mat/Warpzone.10.dump.parquet,1,0,19592,0.0257,154,39312,1,0,0,1,0,0
4-Mat/Warpzone.11.dump.parquet,1,0,19592,0.003,713,19656,1,1,0,1,0,0
4-Mat/Warpzone.12.dump.parquet,1,0,373400,0.0046,387,19656,0,1,0,1,0,0
4-Mat/Warpzone.13.dump.parquet,1,0,22175,0.0162,654,0,1,0,1,0,0,0
4-Mat/Warpzone.14.dump.parquet,1,0,20026,0.0207,524,0,1,0,1,0,0,0
4-Mat/Warpzone.15.dump.parquet,1,0,22176,0.0135,798,0,1,0,1,0,0,0
4-Mat/Warpzone.16.dump.parquet,1,0,26471,0.0119,891,0,0,0,1,0,0,1
4-Mat/Warpzone.2.dump.parquet,1,0,19592,0.0011,1551,19656,1,1,0,1,0,0
4-Mat/Warpzone.3.dump.parquet,1,0,176840,0.0007,2715,19656,0,1,0,1,0,0
4-Mat/Warpzone.4.dump.parquet,1,0,78560,0.006,270,19656,0,1,0,1,0,0
4-Mat/Warpzone.5.dump.parquet,1,0,176840,0.0012,1524,19656,0,1,0,1,0,0
4-Mat/Warpzone.6.dump.parquet,1,0,78560,0.0091,166,19656,0,1,0,1,0,0
4-Mat/Warpzone.7.dump.parquet,1,0,176840,0.0013,1546,19656,0,1,0,1,0,0
4-Mat/Warpzone.8.dump.parquet,1,0,5071184,0.0008,2309,19656,0,1,0,1,0,0
4-Mat/Warpzone.9.dump.parquet,1,0,19592,0.0011,1479,19656,1,1,0,1,0,0
4-Mat/Zoomer.1.dump.parquet,1,0,10103120,0.0007,3209,19656,0,1,0,1,0,0
4-Mat/fUJi_Intro_1.1.dump.parquet,1,0,0,0.0006,3237,19656,0,1,0,1,0,0
4-Mat/fUJi_Intro_2.1.dump.parquet,1,0,0,0.001,2053,19656,0,1,0,1,0,0
4-Mat/fUJi_Intro_3.1.dump.parquet,1,0,0,0.0007,2494,19656,0,1,0,1,0,0
4-Mat/fUJi_Intro_4.1.dump.parquet,1,0,0,0.0005,3441,19656,0,1,0,1,0,0
451/2_Souls_1_Body.1.dump.parquet,1,0,15036776,0.0006,5441,19656,0,1,0,1,0,0
451/A_Letter_from_the_Quarantine_Directory.1.dump.parquet,1,0,56668184,0.0004,7768,19656,0,1,0,1,0,0
451/First_SID_Blood.1.dump.parquet,1,0,76835240,0.0004,6066,19656,0,1,0,1,0,0
451/Laika.1.dump.parquet,1,0,110859776,0.0002,11029,19656,0,1,0,1,0,0
4753_Softcopy/4753_Digi-Mixes.1.dump.parquet,1,0,112720988,0.0281,125,410550,0,0,0,1,0,0
4753_Softcopy/A_New_Love.1.dump.parquet,1,0,39216116,0.1695,10,0,0,0,1,0,0,0
4753_Softcopy/Bass_Is_OK.1.dump.parquet,1,0,12448256,0.0373,73,1051008,0,0,0,1,0,0
4753_Softcopy/Beat_Dis_2.1.dump.parquet,1,0,81814784,0.0267,114,2151282,0,0,0,1,0,0
4753_Softcopy/Best_O_Joint_Short-Mix.1.dump.parquet,1,0,65819756,0.0484,74,279174,0,0,0,1,0,0
4753_Softcopy/Bomb_Europe_Telephone-mix.1.dump.parquet,1,0,69449018,0.0318,109,492660,0,0,0,1,0,0
4753_Softcopy/Chicago_Radio_Mix.1.dump.parquet,1,0,64505996,0.0558,97,1888530,0,0,0,1,0,0
4753_Softcopy/DJ_4753s_Drum_Exercise.1.dump.parquet,1,0,71337548,0.0388,58,2151282,0,0,0,1,0,0
4753_Softcopy/DJ_4753s_Mega_M_U_S_I_C.1.dump.parquet,1,0,70270118,0.0625,57,8013936,0,0,0,1,0,0
4753_Softcopy/DJ_4753s_Shannon_Remix.1.dump.parquet,1,0,31678418,0.0252,128,262752,0,0,0,1,0,0
4753_Softcopy/Debbies_Rap_Machine.1.dump.parquet,1,0,30003374,0.0705,60,492660,0,0,0,1,0,0
4753_Softcopy/Der_Blonde_Hans_Albers.1.dump.parquet,1,0,9607250,0.0392,71,131376,0,0,0,1,0,0
4753_Softcopy/Had_Your_Spinach_Today.1.dump.parquet,1,0,39593822,0.1872,15,0,0,0,1,0,0,0
4753_Softcopy/I_Feel_for_You.1.dump.parquet,1,0,3925238,0.07,32,7570542,0,0,0,1,0,0
4753_Softcopy/I_Need_U_2night_S_fly_Guy.1.dump.parquet,1,0,67379846,0.036,130,525504,0,0,0,1,0,0
4753_Softcopy/Jack_Your_Body.1.dump.parquet,1,0,58889672,0.0481,34,1970640,0,0,0,1,0,0
